# F-077 step 3: every block --report cannot vouch for mechanically,
# with the reason removing it loses nothing. Read the diff, not this file,
# if you are checking the claim: `git show <commit> -- <path>`.
# path	reason
skills/faion/knowledge/architecture/performance-architecture/templates/k6-baseline.js	header spelling only: the file carries the __faion_header_v1__ comment block, the stale copy the faion_header_json one-liner
skills/faion/knowledge/architecture/serverless-iac-and-templates/templates/samconfig.toml	header spelling only: the file carries the __faion_header_v1__ comment block, the stale copy the faion_header_json one-liner
skills/faion/knowledge/architecture/serverless-iac-and-templates/templates/template.yaml	header spelling only: the file carries the __faion_header_v1__ comment block, the stale copy the faion_header_json one-liner
skills/faion/knowledge/architecture/system-design-process/templates/c4-context.mmd	header spelling only: the file carries the __faion_header_v1__ comment block, the stale copy the faion_header_json one-liner
skills/faion/knowledge/backend/api-versioning/templates/oasdiff-ci.sh	header spelling only: the file carries the __faion_header_v1__ comment block, the stale copy the faion_header_json one-liner
skills/faion/knowledge/backend/backup-recovery/templates/backup.sh	file rewritten in this batch (CR-012 #1: the -t that corrupted every dump)
skills/faion/knowledge/backend/decomposition-django/templates/contracts.py	header spelling only: the file carries the __faion_header_v1__ comment block, the stale copy the faion_header_json one-liner
skills/faion/knowledge/backend/decomposition-django/templates/importlinter.ini	header spelling only: the file carries the __faion_header_v1__ comment block, the stale copy the faion_header_json one-liner
skills/faion/knowledge/backend/decomposition-django/templates/move_model_migration.py	header spelling only: the file carries the __faion_header_v1__ comment block, the stale copy the faion_header_json one-liner
skills/faion/knowledge/backend/django-celery/templates/celery_app.py	header spelling only: the file carries the __faion_header_v1__ comment block, the stale copy the faion_header_json one-liner
skills/faion/knowledge/backend/django-celery/templates/conftest.py	header spelling only: the file carries the __faion_header_v1__ comment block, the stale copy the faion_header_json one-liner
skills/faion/knowledge/backend/django-celery/templates/task.py	header spelling only: the file carries the __faion_header_v1__ comment block, the stale copy the faion_header_json one-liner
skills/faion/knowledge/backend/django-services/templates/selector.py	header spelling only: the file carries the __faion_header_v1__ comment block, the stale copy the faion_header_json one-liner
skills/faion/knowledge/backend/django-services/templates/service.py	header spelling only: the file carries the __faion_header_v1__ comment block, the stale copy the faion_header_json one-liner
skills/faion/knowledge/backend/server-init-bootstrap/templates/bootstrap.sh	file rewritten in this batch (CR-012 #2: the ufw enable that locked the operator out)
