# purpose: the EARS grammar pinned to concrete lines — one row per behaviour, input -> expected pattern -> expected codes
# consumes: templates/ears-rules.json (the rule table under test)
# produces: the conformance corpus every EARS implementation must reproduce exactly (Python dev-time validator AND the Go runtime)
# depends-on: scripts/validate-ears-requirements.py --self-test, content/01-core-rules.xml
# token-budget-impact: small — read only when changing a rule or porting the linter
#
# Columns (tab-separated): statement <TAB> expected_pattern <TAB> expected_codes <TAB> mode
# expected_codes: comma-separated, sorted; "-" means a clean parse.
# mode: default | lenient
# Sources for the canonical lines: Mavin (alistairmavin.com/ears/) and Terzakis (Intel, ICCGI 2013), both fetched 2026-08-03.
#
# --- PASS: the five patterns and Complex ---
The billing service shall retain invoices for 7 years.	ubiquitous	I113	default
When a customer submits the checkout form, the payment service shall create a charge intent.	event-driven	-	default
While the account is in trial state, the billing service shall reject all charge attempts.	state-driven	-	default
Where the multi-currency feature is enabled, the dashboard shall display amounts in the account currency.	optional-feature	-	default
If the payment provider returns a declined status, then the checkout page shall display the message "Card declined".	unwanted-behaviour	-	default
While the account is in trial state, when a customer submits the checkout form, the billing service shall display the upgrade prompt.	complex	-	default
When the export job starts, if the storage quota is exceeded, then the export service shall abort the job.	complex	-	default
#
# --- PASS: the "after" side of the ten rewrites ---
The checkout service shall return a response to POST /orders within 400 ms at the 95th percentile under 50 concurrent sessions.	ubiquitous	I113	default
When a visitor submits the signup form with a valid email address, the onboarding service shall send the welcome email within 60 seconds.	event-driven	-	default
When the count of consecutive failed login attempts for an account reaches 5 within 15 minutes, the auth service shall lock the account for 30 minutes.	event-driven	-	default
When an account owner requests an export in PDF format, the report service shall produce a PDF/A-2b file.	event-driven	-	default
The backup job shall write a full snapshot of the primary database to object storage every 24 hours.	ubiquitous	I113	default
The onboarding wizard shall complete account setup in no more than 4 screens.	ubiquitous	I113	default
#
# --- FAIL: errors ---
The app should be fast.	invalid	E001,E008,W103,W111	default
Users get an email when they sign up.	invalid	E001,E003	default
Data is backed up regularly.	invalid	E001,E003,W108	default
The system shall validate the input and shall persist the record.	invalid	E002	default
Assuming the user is logged in, the profile service shall display the avatar.	invalid	E004	default
The API shall respond within 200 if the load is normal or the cache is warm and the region is EU.	invalid	E005,E009,W102,W103,W114	default
When the export starts, while the account is active, the export service shall queue the job.	invalid	E005	default
If the user clicks Export, the report service shall generate a CSV.	invalid	E006,W106	default
When the export starts, then the export service shall log the start.	invalid	E006	default
When the cart is updated, when the user checks out, the pricing service shall recalculate totals.	invalid	E007	default
If the load is normal or the cache is warm and the region is EU, then the API shall serve from cache.	invalid	E009,W103	default
The billing service shall retain invoices for 7 years	ubiquitous	E010,I113	default
#
# --- FAIL: warnings only (default mode still exits 0) ---
When the trial ends, the system shall be notified.	event-driven	W101,W111	default
When an account owner requests a full data export, the export service shall assemble every invoice every payment every refund every customer record and every audit entry belonging to that account into a single archive file that is then written to object storage for later download by the owner.	event-driven	W102,W109	default
The report service shall archive old reports as needed.	ubiquitous	I113,W104	default
The export service shall generate a CSV and email it to the account owner.	ubiquitous	I113,W102,W105	default
When the payment fails, the billing service shall retry.	event-driven	W107	default
Where the audit feature is enabled, while the account is active, while the region is EU, when a user exports a report, the audit service shall write an audit record.	complex	W110	default
If the memory checksum is invalid, then the software shall display an error message.	unwanted-behaviour	W111	default
The system shall support a water level sensor.	ubiquitous	I113,W111,W112	default
#
# --- lenient mode: Kiro-style comma-less ALL-CAPS input is accepted, never canonicalised ---
WHEN a user submits valid data THE SYSTEM SHALL create an account.	event-driven	W111	lenient
